timestampIso,tag,bridgeName,direction,transferAmount,transferAmountUsd,runsPlanned,totalRuns,successCount,failureCount,successRate_pct,latency_min_ms,latency_p50_ms,latency_p90_ms,latency_p95_ms,latency_max_ms,latency_mean_ms,latency_std_ms,cost_n,cost_mean_bridge_usd,cost_mean_source_fee_usd,cost_mean_target_fee_usd,batchDurationMs,xrplUrl,xrplAddress,evmUrl,evmAddress
2025-12-10T11:53:56.347Z,mainnet_flare_to_xrpl_1765367602697,fasset,flare_to_xrpl,10,0,1,1,1,0,100,32042,32042,32042,32042,32042,32042,0,1,0.08279999999999887,0.17643575,0.00002484,32681,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-10T12:05:42.510Z,mainnet_xrpl_to_flare_1765368191839,fasset,xrpl_to_flare,10,0,1,1,1,0,100,150200,150200,150200,150200,150200,150200,0,1,0.020700000000001495,0.00047208,0.04150133,150646,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-10T12:07:07.195Z,mainnet_flare_to_xrpl_1765368349778,fasset,flare_to_xrpl,10,0,1,1,1,0,100,76964,76964,76964,76964,76964,76964,0,1,0.04139999999999944,0.11165469,0.00002484,77362,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-10T12:10:45.860Z,mainnet_xrpl_to_xrpl_evm_1765368430757,axelar,xrpl_to_xrpl_evm,4,0,3,3,3,0,100,69679,70951,73268.6,73558.3,73848,71492.66666666667,1744.5519641316378,3,0.4399164,0.00002484,0.12693221,215080,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-10T15:44:52.920Z,mainnet_xrpl_to_flare_1765381361684,fasset,xrpl_to_flare,10,0,1,1,1,0,100,130732,130732,130732,130732,130732,130732,0,1,0.020599999999998175,0.00058884,0.03085056,131210,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-10T15:46:23.580Z,mainnet_flare_to_xrpl_1765381500137,fasset,flare_to_xrpl,10,0,1,1,1,0,100,82868,82868,82868,82868,82868,82868,0,1,0.0411999999999999,0.13485124,0.00002472,83418,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-10T15:50:11.086Z,mainnet_xrpl_to_xrpl_evm_1765381587013,axelar,xrpl_to_xrpl_evm,4,0,3,3,3,0,100,64701,73405,82845,84024.99999999999,85205,74437,8402.470747742396,3,0.4377912,0.004232613333333334,0.12631736000000002,224046,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-10T15:55:05.482Z,mainnet_xrpl_to_base_1765382021073,near-intents,xrpl_to_base,4,0,3,3,2,1,66.67,31857,34223,36115.799999999996,36352.399999999994,36589,34223,2366,2,0.0015340000000003684,0.00002472,1.2e-7,84382,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-10T15:58:09.930Z,mainnet_xrpl_to_base_1765382166395,near-intents,xrpl_to_base,4,0,3,3,3,0,100,35013,38050,47730.8,48940.899999999994,50151,41071.333333333336,6538.914401913788,3,-0.00039833333333364845,0.000024720000000000004,1.2e-7,123513,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-10T16:01:55.766Z,mainnet_base_to_xrpl_1765382361973,near-intents,base_to_xrpl,4,0,4,4,4,0,100,34730,37461,41499.7,41916.85,42334,37996.5,3114.898754373888,4,0.011678654999999871,1.375e-7,0.0000206,153768,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-10T16:07:49.919Z,mainnet_xrpl_to_flare_1765382638987,fasset,xrpl_to_flare,10,0,1,1,1,0,100,195300,195300,195300,195300,195300,195300,0,1,0.020599999999998175,0.000675,0.04122699,230906,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-10T16:33:02.977Z,mainnet_xrpl_to_xrpl_evm_1765384082825,axelar,xrpl_to_xrpl_evm,4,0,4,4,4,0,100,64564,76822.5,80343.3,80820.15,81297,74876.5,6294.8580007812725,4,0.4399164,0.00002484,0.12693221,300122,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-10T16:37:41.453Z,mainnet_xrpl_evm_to_xrpl_1765384390083,axelar,xrpl_evm_to_xrpl,4,0,4,4,4,0,100,60271,66681,72913.2,74009.09999999999,75105,67184.5,5327.702952492753,4,0,0.19318011,0.34155,271346,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-10T16:40:04.672Z,mainnet_xrpl_to_base_1765384665379,near-intents,xrpl_to_base,4,0,4,4,4,0,100,32825,35191.5,35605.700000000004,35613.35,35621,34707.25,1132.8420840964552,4,0.013245999999999647,0.00002484,1.6e-7,139279,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-10T16:42:58.124Z,mainnet_base_to_xrpl_1765384812103,near-intents,base_to_xrpl,4,0,4,4,4,0,100,34810,39730.5,47124.700000000004,48680.35,50236,41126.75,5630.607754718845,4,-0.007767157499999122,1.85e-7,0.0000207,165995,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-10T17:01:18.440Z,mainnet_flare_to_xrpl_1765386019723,fasset,flare_to_xrpl,10,0,1,1,1,0,100,58219,58219,58219,58219,58219,58219,0,1,0.04139999999999944,0.11981528,0.00002484,58693,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-10T17:07:16.626Z,mainnet_xrpl_to_flare_1765386249752,fasset,xrpl_to_flare,10,0,1,1,1,0,100,186474,186474,186474,186474,186474,186474,0,1,0.020700000000001495,0.0005026200000000001,0.04266374,186851,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-10T17:08:35.242Z,mainnet_flare_to_xrpl_1765386444224,fasset,flare_to_xrpl,10,0,1,1,1,0,100,70576,70576,70576,70576,70576,70576,0,1,0.04139999999999944,0.16322485,0.00002484,70987,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-10T17:17:56.690Z,mainnet_xrpl_to_xrpl_evm_1765386519108,axelar,xrpl_to_xrpl_evm,3,0,6,6,6,0,100,75110,80046.5,121639.5,135338.75,149038,92823.16666666667,25848.175367045842,6,0.4399164,0.000024839999999999996,0.12692724,557552,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-10T17:25:10.565Z,mainnet_xrpl_evm_to_xrpl_1765387084290,axelar,xrpl_evm_to_xrpl,3,0,6,6,6,0,100,57845,70730,79730,80574.5,81419,69985,8679.704680076007,6,0,0.19317328,0.34155,426249,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-10T17:29:06.613Z,mainnet_xrpl_to_base_1765387514531,near-intents,xrpl_to_base,3,0,6,6,6,0,100,30725,38700,44767.5,45493.25,46219,38595.166666666664,5250.137630471118,6,-0.005273666666666769,0.000024839999999999996,2.0500000000000002e-7,232059,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-10T17:33:04.546Z,mainnet_base_to_xrpl_1765387754263,near-intents,base_to_xrpl,3,0,6,6,6,0,100,34435,36957.5,42349,44183,46017,37949.5,3955.083806528841,6,0.00575598000000029,2.0000000000000002e-7,0.0000207,230259,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-10T18:37:34.480Z,mainnet_xrpl_to_flare_1765391680684,fasset,xrpl_to_flare,10,0,1,1,1,0,100,173384,173384,173384,173384,173384,173384,0,1,0.020700000000001495,0.0007996500000000001,0.10097598,173772,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-10T18:42:27.113Z,mainnet_flare_to_xrpl_1765391862149,fasset,flare_to_xrpl,10,0,1,1,1,0,100,284563,284563,284563,284563,284563,284563,0,1,0.04159999999999897,0.46613182000000003,0.00002496,284941,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-10T18:46:14.006Z,mainnet_xrpl_to_xrpl_evm_1765392151185,axelar,xrpl_to_xrpl_evm,3,0,3,3,3,0,100,68560,76141,77157.8,77284.9,77412,74037.66666666667,3907.89664937831,3,0.4420416,0.00002496,0.12754541,222794,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-10T18:49:45.019Z,mainnet_xrpl_evm_to_xrpl_1765392382150,axelar,xrpl_evm_to_xrpl,3,0,3,3,3,0,100,61168,61613,73765.8,75284.9,76804,66528.33333333333,7268.264365643898,3,0,0.19411335,0.3432,202836,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
